Undisturbed,Type1 disturbed,Type2 disturbed,Type3 disturbed,Type 4 disturbed
0.9632999897003174,0.9458000063896179,0.944599986076355,0.9363999962806702,0.9466999769210815
0.9646999835968018,0.9480999708175659,0.9404000043869019,0.9340999722480774,0.949400007724762
0.9646999835968018,0.9478999972343445,0.9440000057220459,0.9567000269889832,0.9570000171661377
0.9598000049591064,0.9438999891281128,0.9452999830245972,0.9409999847412109,0.9552000164985657
0.9599000215530396,0.9423999786376953,0.9470999836921692,0.9480000138282776,0.9513999819755554
0.9649999737739563,0.9438999891281128,0.9373999834060669,0.9312999844551086,0.9415000081062317
0.9648000001907349,0.9491999745368958,0.944100022315979,0.9380000233650208,0.9574999809265137
0.9635999798774719,0.9057000279426575,0.9110000133514404,0.9036999940872192,0.9387000203132629
0.965399980545044,0.9517999887466431,0.926800012588501,0.9488999843597412,0.9550999999046326
0.9650999903678894,0.9359999895095825,0.9175999760627747,0.940500020980835,0.9508000016212463
0.9649999737739563,0.9362999796867371,0.9228000044822693,0.9294999837875366,0.9524999856948853
0.967199981212616,0.9172999858856201,0.9337000250816345,0.9301999807357788,0.9580000042915344
0.965399980545044,0.9333000183105469,0.9423999786376953,0.9409000277519226,0.9575999975204468
0.9642999768257141,0.9377999901771545,0.911899983882904,0.9172000288963318,0.9521999955177307
0.9627000093460083,0.921500027179718,0.9433000087738037,0.9273999929428101,0.9470000267028809
0.9635999798774719,0.9488999843597412,0.9484999775886536,0.9473000168800354,0.9580000042915344
0.9678999781608582,0.933899998664856,0.9128000140190125,0.9142000079154968,0.9398999810218811
0.9624000191688538,0.9491000175476074,0.9261000156402588,0.9523000121116638,0.9520000219345093
0.9667999744415283,0.9305999875068665,0.9327999949455261,0.9355000257492065,0.9575999975204468
0.9652000069618225,0.9146000146865845,0.9300000071525574,0.9085999727249146,0.9527999758720398
0.9639000296592712,0.9025999903678894,0.9466000199317932,0.9399999976158142,0.9452000260353088
0.9663000106811523,0.9416999816894531,0.9440000057220459,0.954800009727478,0.9574999809265137
0.963699996471405,0.9386000037193298,0.9516000151634216,0.9336000084877014,0.9598000049591064
0.9660999774932861,0.944599986076355,0.946399986743927,0.9435999989509583,0.9599999785423279
0.9649999737739563,0.9028000235557556,0.9408000111579895,0.9473000168800354,0.9505000114440918
0.964900016784668,0.9538000226020813,0.9355999827384949,0.9480999708175659,0.9575999975204468
0.9642000198364258,0.947700023651123,0.935699999332428,0.9380000233650208,0.9552000164985657
0.9688000082969666,0.9412000179290771,0.9305999875068665,0.9204000234603882,0.9398000240325928
0.9589999914169312,0.9118000268936157,0.9049999713897705,0.9067999720573425,0.9430000185966492
0.96670001745224,0.9129999876022339,0.8927000164985657,0.9462000131607056,0.9496999979019165
